start_time,c,h,l,o,t
1705125600000,0.01,0.01,0.01,0.01,1705125600
1705129200000,0.01,0.01,0.01,0.01,1705129200
1705132800000,0.01,0.01,0.01,0.01,1705132800
1705136400000,0.01,0.01,0.01,0.01,1705136400
1705140000000,0.01,0.01,0.01,0.01,1705140000
1705143600000,0.01,0.01,0.01,0.01,1705143600
1705147200000,0.01,0.01,0.01,0.01,1705147200
1705150800000,0.01,0.01,0.01,0.01,1705150800
1705154400000,0.01,0.01,0.01,0.01,1705154400
1705158000000,0.01,0.01,0.01,0.01,1705158000
1705161600000,0.01,0.01,0.01,0.01,1705161600
1705165200000,0.01,0.01,0.01,0.01,1705165200
1705168800000,0.01,0.01,0.01,0.01,1705168800
1705172400000,0.01,0.01,0.01,0.01,1705172400
1705176000000,0.01,0.01,0.01,0.01,1705176000
1705179600000,0.01,0.01,0.01,0.01,1705179600
1705183200000,0.01,0.01,0.01,0.01,1705183200
1705186800000,0.01,0.01,0.01,0.01,1705186800
1705190400000,0.01,0.01,0.01,0.01,1705190400
1705194000000,0.01,0.01,0.01,0.01,1705194000
1705197600000,0.01,0.01,0.01,0.01,1705197600
1705201200000,0.01,0.01,0.01,0.01,1705201200
1705204800000,0.01,0.01,0.01,0.01,1705204800
1705208400000,0.01,0.01,0.01,0.01,1705208400
1705212000000,0.01,0.01,0.01,0.01,1705212000
1705215600000,0.01,0.01,0.01,0.01,1705215600
1705219200000,0.01,0.01,0.01,0.01,1705219200
1705222800000,0.01,0.01,0.01,0.01,1705222800
1705226400000,0.01,0.01,0.01,0.01,1705226400
1705230000000,0.01,0.01,0.01,0.01,1705230000
1705233600000,0.01,0.01,0.01,0.01,1705233600
1705237200000,0.01,0.01,0.01,0.01,1705237200
1705240800000,0.01,0.01,0.01,0.01,1705240800
1705244400000,0.01,0.01,0.01,0.01,1705244400
1705248000000,0.01,0.01,0.01,0.01,1705248000
1705251600000,0.01,0.01,0.01,0.01,1705251600
1705255200000,0.01,0.01,0.01,0.01,1705255200
1705258800000,0.01,0.01,0.01,0.01,1705258800
1705262400000,0.01,0.01,0.01,0.01,1705262400
1705266000000,0.01,0.01,0.01,0.01,1705266000
1705269600000,0.01,0.01,0.01,0.01,1705269600
1705273200000,0.01,0.01,0.01,0.01,1705273200
1705276800000,0.01,0.01,0.01,0.01,1705276800
1705280400000,0.01,0.01,0.01,0.01,1705280400
1705284000000,0.01,0.01,0.01,0.01,1705284000
1705287600000,0.01,0.01,0.01,0.01,1705287600
1705291200000,0.01,0.01,0.01,0.01,1705291200
