start_time,close,datetime,high,low,open,volume
1724187600000,59296.94,2024-08-20 21:00:00,59331.01,58802.35,59317.58,901.43638
1724191200000,59368.0,2024-08-20 22:00:00,59545.51,59238.08,59296.94,461.98957
1724194800000,59013.8,2024-08-20 23:00:00,59402.64,58992.81,59368.0,389.8563
1724198400000,58989.0,2024-08-21 00:00:00,59279.96,58954.99,59013.8,612.37826
1724202000000,59281.58,2024-08-21 01:00:00,59281.58,58783.47,58989.0,659.71496
1724205600000,59363.32,2024-08-21 02:00:00,59519.99,59253.12,59281.57,648.06025
1724209200000,59320.0,2024-08-21 03:00:00,59419.49,59209.87,59363.32,444.35025
1724212800000,59358.0,2024-08-21 04:00:00,59406.21,59183.13,59320.0,296.07758
1724216400000,59379.99,2024-08-21 05:00:00,59404.97,59292.64,59357.99,373.88885
1724220000000,59627.32,2024-08-21 06:00:00,59739.52,59364.1,59379.99,813.29793
1724223600000,59712.0,2024-08-21 07:00:00,59735.99,59580.0,59627.32,533.99979
1724227200000,59443.0,2024-08-21 08:00:00,59924.13,59231.33,59711.99,1071.73137
1724230800000,59290.51,2024-08-21 09:00:00,59508.0,59085.88,59443.0,979.21548
1724234400000,59468.4,2024-08-21 10:00:00,59484.4,59210.48,59290.51,481.17914
1724238000000,59361.14,2024-08-21 11:00:00,59509.34,59254.47,59468.4,399.0749
1724241600000,59506.9,2024-08-21 12:00:00,59600.0,59265.77,59361.14,711.51803
1724245200000,59928.0,2024-08-21 13:00:00,60100.0,58850.0,59506.9,2610.70655
1724248800000,59410.41,2024-08-21 14:00:00,60201.98,59193.66,59928.01,3616.50419
1724252400000,59511.8,2024-08-21 15:00:00,59782.97,59300.99,59410.41,1069.51671
1724256000000,59885.58,2024-08-21 16:00:00,59947.36,59375.0,59511.79,1038.66262
1724259600000,59928.42,2024-08-21 17:00:00,60046.0,59708.04,59885.58,703.95841
1724263200000,60771.28,2024-08-21 18:00:00,60831.9,59843.23,59928.42,1989.87165
1724266800000,61570.0,2024-08-21 19:00:00,61625.2,60588.64,60771.28,3404.80333
1724270400000,61236.0,2024-08-21 20:00:00,61820.93,60902.13,61570.0,2736.96402
1724274000000,61235.97,2024-08-21 21:00:00,61499.93,60928.0,61236.0,1109.71897
1724277600000,61176.47,2024-08-21 22:00:00,61500.0,61173.51,61235.97,624.24182
1724281200000,61156.03,2024-08-21 23:00:00,61300.01,61002.17,61176.47,1054.20714
1724284800000,60818.15,2024-08-22 00:00:00,61229.0,60811.07,61156.03,697.77129
1724288400000,60970.0,2024-08-22 01:00:00,60995.96,60724.79,60818.15,664.60511
1724292000000,60186.48,2024-08-22 02:00:00,60970.01,59724.87,60970.0,1774.35461
1724295600000,60548.9,2024-08-22 03:00:00,60624.0,60074.0,60186.49,972.81011
1724299200000,60834.52,2024-08-22 04:00:00,60850.0,60459.98,60548.9,853.58077
1724302800000,60724.0,2024-08-22 05:00:00,60834.53,60602.45,60834.53,507.77932
1724306400000,60762.91,2024-08-22 06:00:00,60944.53,60682.41,60724.01,554.46896
1724310000000,60984.31,2024-08-22 07:00:00,61114.23,60708.69,60762.92,761.04674
1724313600000,60926.81,2024-08-22 08:00:00,61112.0,60859.79,60984.31,740.93955
1724317200000,60887.98,2024-08-22 09:00:00,60976.32,60802.38,60926.81,541.86058
1724320800000,61350.01,2024-08-22 10:00:00,61400.0,60827.12,60887.99,807.95803
1724324400000,61336.09,2024-08-22 11:00:00,61382.24,61097.59,61350.02,1008.84315
1724328000000,60879.19,2024-08-22 12:00:00,61398.18,60772.12,61336.09,1784.93315
1724331600000,60815.99,2024-08-22 13:00:00,60934.03,60394.64,60879.19,1767.72909
