start_time,buy,sell,time
1705629600000,2746.973,2888.358,1705629600
1705633200000,7092.957,8852.887,1705633200
1705636800000,3242.952,3056.978,1705636800
1705640400000,2082.765,2142.921,1705640400
1705644000000,5794.259,4585.948,1705644000
1705647600000,5021.771,5925.604,1705647600
1705651200000,3954.926,3825.081,1705651200
1705654800000,4299.201,3746.889,1705654800
1705658400000,3024.887,3263.722,1705658400
1705662000000,2722.762,3097.779,1705662000
1705665600000,3511.138,3682.488,1705665600
1705669200000,3125.273,2977.004,1705669200
1705672800000,12418.474,14167.144,1705672800
1705676400000,13910.839,13957.77,1705676400
1705680000000,21458.822,23546.143,1705680000
1705683600000,21521.963,18123.19,1705683600
1705687200000,21143.279,17527.986,1705687200
1705690800000,7251.219,7844.277,1705690800
1705694400000,11591.99,12073.962,1705694400
1705698000000,5196.78,4805.48,1705698000
1705701600000,2913.667,2164.11,1705701600
1705705200000,2178.813,2766.239,1705705200
1705708800000,3525.297,4057.433,1705708800
1705712400000,2723.331,2115.987,1705712400
1705716000000,1327.1,1537.187,1705716000
1705719600000,1601.474,1268.042,1705719600
1705723200000,1205.553,1507.487,1705723200
1705726800000,1223.058,1260.019,1705726800
1705730400000,1507.517,1546.614,1705730400
1705734000000,2140.906,2523.944,1705734000
1705737600000,3295.498,3603.457,1705737600
1705741200000,2695.731,3158.531,1705741200
1705744800000,2261.505,2101.221,1705744800
1705748400000,1971.647,1924.997,1705748400
1705752000000,2685.172,2245.756,1705752000
1705755600000,1657.889,1792.385,1705755600
1705759200000,1966.623,2322.881,1705759200
1705762800000,2966.09,2642.564,1705762800
1705766400000,1639.645,1585.701,1705766400
1705770000000,1141.336,1039.354,1705770000
1705773600000,1294.702,1375.417,1705773600
1705777200000,1318.265,1222.332,1705777200
1705780800000,2826.961,2647.065,1705780800
1705784400000,1976.087,2152.04,1705784400
1705788000000,1214.983,1466.419,1705788000
1705791600000,1228.9,1373.966,1705791600
1705795200000,1148.241,1072.618,1705795200
1705798800000,1051.418,757.335,1705798800
1705802400000,708.855,830.551,1705802400
1705806000000,923.243,1188.544,1705806000
1705809600000,640.51,542.802,1705809600
1705813200000,634.33,737.792,1705813200
1705816800000,1106.798,1355.835,1705816800
1705820400000,980.146,746.2,1705820400
1705824000000,1206.304,1031.779,1705824000
1705827600000,1320.223,916.264,1705827600
1705831200000,2321.263,2459.732,1705831200
1705834800000,832.731,1206.665,1705834800
1705838400000,1202.574,1243.913,1705838400
1705842000000,2318.315,1919.521,1705842000
1705845600000,1671.123,2125.001,1705845600
1705849200000,2977.412,3919.197,1705849200
1705852800000,2537.685,2762.906,1705852800
1705856400000,1603.785,1087.916,1705856400
1705860000000,1284.457,1003.829,1705860000
1705863600000,702.434,643.485,1705863600
1705867200000,1250.662,1508.745,1705867200
1705870800000,1543.216,1028.501,1705870800
1705874400000,802.324,1027.484,1705874400
1705878000000,2499.14,2651.741,1705878000
1705881600000,4184.401,4222.82,1705881600
1705885200000,7142.093,8895.807,1705885200
1705888800000,2732.53,2861.009,1705888800
1705892400000,4730.13,6200.272,1705892400
1705896000000,7244.088,9642.054,1705896000
1705899600000,9030.073,7541.667,1705899600
1705903200000,5694.183,5238.458,1705903200
1705906800000,2894.699,3960.749,1705906800
1705910400000,7591.646,7835.592,1705910400
1705914000000,6356.288,7561.3,1705914000
1705917600000,13605.411,13586.957,1705917600
1705921200000,6665.011,5758.713,1705921200
1705924800000,4752.223,4221.632,1705924800
1705928400000,10323.331,10182.901,1705928400
1705932000000,12498.76,13609.811,1705932000
1705935600000,13955.785,12824.32,1705935600
1705939200000,9561.061,9965.111,1705939200
1705942800000,6083.544,5848.8,1705942800
1705946400000,14701.654,19470.693,1705946400
1705950000000,33221.221,38180.925,1705950000
1705953600000,15618.084,14395.667,1705953600
1705957200000,7024.709,8221.552,1705957200
1705960800000,9172.864,9673.08,1705960800
1705964400000,6775.499,7564.928,1705964400
1705968000000,7151.845,5859.405,1705968000
1705971600000,2665.608,2919.886,1705971600
1705975200000,4421.881,3240.646,1705975200
1705978800000,3190.248,3240.276,1705978800
1705982400000,2723.963,2431.767,1705982400
1705986000000,1370.841,1652.141,1705986000
1705989600000,2562.754,2962.317,1705989600
1705993200000,5110.171,6265.707,1705993200
1705996800000,11430.952,12839.896,1705996800
1706000400000,25375.687,27778.447,1706000400
1706004000000,10166.883,10555.508,1706004000
1706007600000,12347.079,14331.11,1706007600
1706011200000,11166.098,8931.353,1706011200
1706014800000,5203.289,5549.439,1706014800
1706018400000,18734.529,19532.486,1706018400
1706022000000,18915.03,16544.719,1706022000
1706025600000,11638.531,12374.846,1706025600
1706029200000,13025.181,12308.744,1706029200
1706032800000,8511.844,9437.556,1706032800
1706036400000,6786.316,5834.639,1706036400
1706040000000,6587.743,6319.709,1706040000
1706043600000,4118.569,4503.412,1706043600
1706047200000,4331.367,4218.064,1706047200
1706050800000,9336.416,7868.431,1706050800
1706054400000,10278.836,9547.135,1706054400
1706058000000,6107.34,7866.944,1706058000
1706061600000,3137.123,3373.988,1706061600
1706065200000,4226.052,4918.702,1706065200
1706068800000,3124.553,2872.823,1706068800
1706072400000,3717.055,2828.539,1706072400
1706076000000,4067.471,3164.343,1706076000
1706079600000,6460.916,5738.354,1706079600
1706083200000,4208.58,4509.442,1706083200
1706086800000,3254.265,3730.9,1706086800
1706090400000,12003.285,9800.815,1706090400
