start_time,active_address,exchange_inflow,exchange_outflow,price,transaction_count
1709604000000,1117,2.14844817,13.82594161,68137.81,710
1709607600000,374,0.4534835,11.07062464,68113.94,371
1709611200000,3007,2.0875179,13.7706413,67326.17,1312
1709614800000,477,0.56752063,22.99584131,66961.09,444
1709618400000,2293,3.68138806,10.26784766,67286.8,534
1709622000000,1156,2.16696325,19.8651361,66129.64,434
1709625600000,552,0.17841271,18.59982179,66866.75,464
1709629200000,588,3.12291836,21.2934348,66407.89,508
1709632800000,1330,2.63292711,11.42399659,66810.18,620
1709636400000,878,0.16645392,43.94216442,66656.31,344
1709640000000,2466,2.96922589,32.55264084,67325.03,696
1709643600000,597,0.21721931,47.15065413,67770.01,572
1709647200000,1368,1.85482072,19.22415255,68710.41,691
1709650800000,1099,0.6422802,26.63693881,66773.05,756
1709654400000,1773,2.64767896,15.24273098,65495.98,783
1709658000000,278,0.62272124,12.52691263,65575.2,234
1709661600000,1665,2.82393208,12.43830657,63988.37,769
1709665200000,793,0.4883146,31.39236972,61410.98,742
1709668800000,1514,5.10200453,33.34123793,61886.32,592
1709672400000,671,0.27842115,29.73752386,63264.24,617
1709676000000,655,0.39787688,2.88832063,63397.99,206
1709679600000,802,3.25751318,9.45627301,63724.01,597
1709683200000,508,3.34953803,17.97715844,63429.18,325
1709686800000,387,0.50392919,7.35709214,63108.6,367
1709690400000,842,2.00882074,11.16823113,62795.0,364
1709694000000,361,0.72183296,12.53094536,63263.21,267
1709697600000,575,5.13312683,17.69070331,64607.98,236
1709701200000,2060,0.6068275,7.57279529,66406.8,313
1709704800000,390,0.42816363,19.65059549,65737.22,301
1709708400000,266,4.59012922,16.71669847,66676.46,286
1709712000000,326,0.85562084,23.944155,66941.23,313
1709715600000,696,1.63133493,19.67601756,66120.14,429
1709719200000,857,2.72796129,13.47497824,66660.36,571
1709722800000,461,1.31015939,12.30330975,67301.31,410
1709726400000,143,0.34457362,5.32609761,65929.5,136
1709730000000,740,0.87349896,15.41590397,66327.48,692
1709733600000,1755,4.60942712,20.14606061,65896.75,542
1709737200000,1031,0.38137975,11.51421661,66481.12,415
1709740800000,597,2.67022286,16.69434751,67086.0,534
1709744400000,889,0.23453702,15.9300481,67324.84,485
1709748000000,564,2.66818883,6.93492783,67084.18,443
1709751600000,715,0.16969945,20.37681545,66739.48,528
1709755200000,741,2.47643676,17.79779856,66888.24,436
1709758800000,524,0.20999728,10.13161708,66417.72,480
1709762400000,1242,1.31808221,4.87363962,65916.53,457
1709766000000,648,0.27172374,2.72443447,66074.04,474
1709769600000,301,2.69095095,9.31917886,66198.31,272
1709773200000,899,0.12121197,14.080553,66410.0,379
1709776800000,714,2.38256102,13.15487791,66101.1,352
1709780400000,431,0.18264801,7.9253847,65847.29,275
1709784000000,966,4.99753534,9.97839218,65843.57,239
1709787600000,3576,0.16435421,8.58837973,65800.0,300
1709791200000,5274,0.15575474,3.46910088,65871.97,265
1709794800000,9597,3.14163489,2.33150732,66387.78,556
1709798400000,4870,5.54682156,3.02538813,66665.41,398
1709802000000,7133,0.57197066,2.03506708,66710.32,443
1709805600000,285,1.36556593,6.80993719,66898.35,288
1709809200000,481,1.43643637,11.00076181,66905.34,408
1709812800000,692,1.93311068,16.17168714,66712.44,502
1709816400000,1306,0.22770931,20.60976827,66905.69,392
1709820000000,4231,1.71540608,8.8217664,67024.98,558
1709823600000,5279,0.54474751,7.385877,67260.01,585
1709827200000,819,2.34535106,15.85915396,67304.02,485
1709830800000,860,0.35907901,15.23485628,67592.92,411
1709834400000,2398,0.07174479,9.09893394,67601.21,386
1709838000000,2271,1.3399582,12.28405579,67498.02,587
1709841600000,582,0.0931153,25.85003293,67537.67,385
1709845200000,495,0.14031293,18.784038,67239.67,404
1709848800000,1065,2.2218616,2.42027536,67102.18,375
1709852400000,443,1.46767491,5.29345135,66823.17,417
1709856000000,1954,2.00249679,4.41415474,67072.65,226
1709859600000,332,0.13842347,9.18254597,66936.02,282
1709863200000,736,1.77927283,16.4353124,67117.37,279
1709866800000,555,0.08238069,7.28495046,67156.09,106
1709870400000,1129,8.65739191,10.6540376,67069.22,302
1709874000000,1221,0.90673152,7.5344125,66909.99,284
1709877600000,4420,2.08795641,3.6740502,67563.6,284
1709881200000,266,0.19960503,18.49882044,67223.02,181
1709884800000,10186,1.8312234,4.77031635,67208.55,835
1709888400000,304,1.96691219,13.69323845,67121.39,306
1709892000000,1708,4.3377466,13.62738712,67336.66,350
1709895600000,365,0.23856214,14.97071098,67741.21,352
1709899200000,1719,1.82541922,9.66308841,67455.22,443
1709902800000,330,0.25256115,13.30639661,67770.96,303
1709906400000,525,0.28392941,20.88673733,68422.0,343
1709910000000,477,0.1355129,30.06320358,67617.6,424
1709913600000,1668,2.69597296,21.59627846,67810.6,814
1709917200000,654,0.51697554,31.51688214,68340.01,574
1709920800000,1179,2.89221761,20.2926369,68578.01,428
1709924400000,356,0.13958169,35.48199467,68863.99,309
1709928000000,711,0.06784922,21.24416919,69071.99,295
1709931600000,645,0.23949184,43.6363766,68182.39,539
1709935200000,743,3.53720799,16.09046964,68102.06,499
1709938800000,905,0.11269709,6.95079432,68124.19,448
1709942400000,627,0.53652503,13.70991558,68100.01,245
1709946000000,290,1.4651852,8.37542246,67910.95,295
1709949600000,266,0.18839728,6.41032611,68156.02,199
1709953200000,343,0.9447076,8.88997078,68247.34,276
1709956800000,1048,2.42186049,12.47290745,68301.11,279
1709960400000,3669,0.28660808,2.84351956,68244.98,242
1709964000000,1112,4.49873616,13.60127658,68426.01,307
1709967600000,401,0.79397011,10.01110155,68288.64,238
1709971200000,1307,1.77412979,7.02621103,68300.0,372
1709974800000,285,0.29320331,13.64330867,68301.09,307
1709978400000,1258,0.25120394,7.69532887,68177.99,264
1709982000000,379,1.61720989,17.51043982,68299.99,449
1709985600000,640,1.59213527,10.43373393,68475.18,391
1709989200000,399,0.28315449,7.62714913,68345.57,286
1709992800000,501,2.19054877,16.2507181,68138.68,449
1709996400000,415,0.50910283,9.67546217,68288.2,411
1710000000000,763,0.2344906,8.14841649,68104.59,307
1710003600000,918,1.17783551,14.16764941,68153.86,523
1710007200000,873,2.04629524,11.18344674,68250.01,333
1710010800000,1718,0.11377522,6.54744093,68193.51,366
1710014400000,97,0.00883523,27.05393105,68333.24,94
1710018000000,803,2.32450042,4.50715722,68376.13,489
1710021600000,259,1.37551733,1.82947145,68364.99,236
1710025200000,362,0.56301686,21.41595015,68313.27,192
1710028800000,354,0.11500987,19.97266896,68343.12,176
1710032400000,162,0.27622509,27.28063328,68939.55,162
1710036000000,533,4.82241018,36.97959959,68822.58,238
1710039600000,198,0.22948626,21.46430895,69136.79,138
1710043200000,750,0.26160888,8.86338194,69403.81,182
1710046800000,179,0.35301625,7.21801956,69330.32,190
1710050400000,265,2.26118691,5.28737831,69325.92,259
1710054000000,707,8.91841426,17.735835,69347.16,379
1710057600000,453,3.34932069,4.88371096,69635.35,324
1710061200000,1746,0.15376078,4.03503711,69776.31,288
1710064800000,540,0.99184806,9.47256514,69750.08,361
1710068400000,824,0.9122074,6.7803407,69568.46,389
1710072000000,1700,3.08035823,7.90510886,69777.94,457
1710075600000,1427,0.3603767,20.45282961,69313.56,345
1710079200000,623,5.03729868,29.0999572,69270.0,433
1710082800000,322,0.26778092,8.30938306,69194.83,316
1710086400000,966,0.54215011,7.23517746,69426.42,300
1710090000000,380,0.15108429,7.74324702,69413.53,332
1710093600000,723,3.00051632,5.5202257,69233.97,428
1710097200000,118,0.37253488,5.44739369,69400.19,99
1710100800000,601,0.17917016,5.08271163,69310.0,575
1710104400000,1304,0.21172526,2.56563311,69100.0,414
1710108000000,725,1.12567229,7.59709801,68418.59,297
1710111600000,193,3.5364681,11.30676529,68955.88,185
1710115200000,1380,1.87336322,9.4743613,68095.99,342
1710118800000,130,0.64621684,13.99477747,68299.17,143
1710122400000,1028,1.85117807,6.18494501,68314.71,304
1710126000000,153,0.27599791,10.12441863,68604.42,180
1710129600000,923,7.39143206,2.96720465,68540.12,185
1710133200000,169,0.49620637,5.79917845,68550.4,206
1710136800000,1046,3.2623719,10.37233518,69319.79,235
1710140400000,379,0.51948921,25.78872339,71019.99,397
1710144000000,1921,3.243903,12.50082532,71190.0,484
1710147600000,370,1.80791266,9.21748262,71770.0,369
1710151200000,994,5.56494207,17.84654944,71504.01,714
1710154800000,477,0.76473288,15.24985512,71487.2,501
1710158400000,3268,1.23199903,10.2298695,71968.27,595
1710162000000,643,3.00947709,16.55901454,71503.97,656
1710165600000,2685,3.29463443,10.87988201,72170.68,626
1710169200000,1055,0.46896147,39.33879263,72010.0,429
1710172800000,1524,2.6474034,32.81872264,72501.1,686
1710176400000,322,0.64345056,17.37247121,72481.11,250
1710180000000,710,0.13333723,19.37869899,72480.0,397
1710183600000,664,3.25526616,34.50012305,71970.0,657
1710187200000,869,2.41174449,7.42110952,72115.76,345
1710190800000,615,1.34575671,7.01722011,72517.32,605
1710194400000,1459,1.5515822,6.28592174,72441.11,529
1710198000000,279,0.15826284,7.30593445,72078.1,263
1710201600000,533,0.16719164,12.29701773,71988.27,280
1710205200000,371,1.30281994,9.34873395,72433.34,395
1710208800000,180,0.39228298,10.5670992,72183.97,122
1710212400000,655,1.40003963,12.22610818,71619.0,362
1710216000000,320,4.83556554,15.05731247,71809.3,195
1710219600000,1013,0.30595687,22.95518331,71981.11,472
1710223200000,460,0.57354147,7.22386275,72266.47,119
1710226800000,722,2.32847962,12.88054469,72121.1,500
1710230400000,1042,2.7349921,12.74882997,71677.32,424
1710234000000,479,0.45362302,10.58884798,71936.0,441
1710237600000,5385,0.26737988,2.8239017,71864.0,439
1710241200000,358,0.14236859,5.91066915,72023.82,368
1710244800000,1878,3.16469261,9.75957524,72193.19,568
1710248400000,605,0.50675834,7.64369068,72293.8,305
1710252000000,1066,2.17728491,35.00696158,71666.79,561
1710255600000,1179,0.3533247,13.64707347,71703.41,495
1710259200000,1035,0.56717792,7.12216694,70507.37,294
1710262800000,640,0.30212306,18.98528475,71092.55,561
1710266400000,432,0.14149915,9.51466518,71410.21,395
1710270000000,1167,3.98452378,22.83213902,71349.99,415
1710273600000,709,1.05011836,17.37815141,71037.63,493
1710277200000,1903,5.94228893,3.28854443,70845.21,417
1710280800000,297,1.38600527,4.40693666,71162.01,322
1710284400000,696,2.43996123,4.90216426,71452.01,292
1710288000000,669,2.94172696,16.67704774,71410.68,358
1710291600000,186,0.16004164,9.81819841,72005.37,274
1710295200000,519,0.42417233,20.92278009,71980.0,278
1710298800000,290,3.05321471,20.46234112,72057.43,231
1710302400000,1499,3.27602426,8.15380227,72210.0,252
1710306000000,223,0.3206064,8.47842036,72152.39,240
1710309600000,907,3.58659607,15.04012805,72708.0,352
1710313200000,135,0.04538011,14.86132251,72855.16,35
1710316800000,785,0.13752601,20.55408782,73433.5,478
1710320400000,1396,0.86955681,12.68183365,73306.52,611
1710324000000,2032,0.51580634,8.99207983,73256.02,321
1710327600000,613,3.70492049,33.25977367,73065.41,431
1710331200000,523,1.01895335,10.38572154,72810.0,424
1710334800000,446,0.30939611,13.04099256,72183.65,416
1710338400000,1937,2.43180927,25.12069919,72352.8,606
1710342000000,220,0.05413263,31.44084582,72634.95,203
1710345600000,847,1.98927122,23.68871541,72995.91,695
1710349200000,527,0.25246876,21.22256723,72820.61,477
1710352800000,1677,2.17108782,12.46250176,73133.59,524
1710356400000,1166,0.53313168,13.82675299,73349.24,430
1710360000000,796,0.05002674,17.29527958,73088.73,354
1710363600000,805,1.43821076,18.0761021,73240.2,511
1710367200000,970,3.42949123,7.81971929,72951.83,357
1710370800000,425,0.16596152,18.50328505,73072.41,396
1710374400000,2122,1.81378758,5.16085221,72842.77,339
1710378000000,185,0.31595602,19.77256175,72928.31,193
1710381600000,592,1.49780798,13.96225559,73012.73,394
1710385200000,778,0.45801794,14.64949842,73267.08,234
1710388800000,710,3.58818487,13.31387489,72961.08,204
1710392400000,202,0.07843592,19.72964078,73143.98,195
1710396000000,724,2.01713639,12.20646745,73577.35,418
1710399600000,367,0.73576576,21.42128746,73224.0,225
1710403200000,2028,3.13092906,10.9435744,73321.11,447
1710406800000,288,0.09453894,89.64050276,73329.12,273
1710410400000,580,3.26715384,24.53445729,72983.59,361
1710414000000,655,0.58813979,16.83093371,72884.0,414
1710417600000,1710,0.41947088,14.10748871,72829.93,319
1710421200000,615,2.64040409,23.3316273,71884.81,523
1710424800000,952,3.58622363,30.49251604,71690.0,530
1710428400000,283,0.70205403,35.12105081,70844.01,279
1710432000000,263,0.37880333,15.62006534,71337.63,226
1710435600000,300,2.29928163,5.61369241,71036.01,262
1710439200000,629,5.66531943,16.71422511,70098.5,424
1710442800000,1329,0.47560887,10.07844269,69415.09,638
1710446400000,752,0.3797472,9.24123116,70744.9,351
1710450000000,498,5.24459734,16.30744236,71105.58,499
1710453600000,95,0.03783376,17.25361285,71539.2,92
