start_time,open_interest,high open interest,low open interest,open value of open interest,funding_rate,high funding rate,low funding rate,open funding rate,long_short_ratio,longShortRatio,shortAccount,active_address,exchange_inflow_x,exchange_outflow_x,price_x,transaction_count_x,active_addresses,exchange_inflow_y,exchange_outflow_y,price_y,transaction_count_y
1706760000000.0,72616.4,72683.4,72300.2,72334.25,0.01,0.01,0.01,0.01,60.96,1.56,39.04,3449,0.10812637,8.33509118,42073.43,303,37961,0.7296124713703098,1.0000298671444083,42081.57725976855,13583
1706760000000.0,72818.47,72941.95,72595.32,72616.4,0.01,0.01,0.01,0.01,61.51,1.6,38.49,3449,0.10812637,8.33509118,42073.43,303,37961,0.7296124713703098,1.0000298671444083,42081.57725976855,13583
1706760000000.0,72753.64,72848.84,72611.36,72818.47,0.01,0.01,0.01,0.01,61.86,1.62,38.14,3449,0.10812637,8.33509118,42073.43,303,37961,0.7296124713703098,1.0000298671444083,42081.57725976855,13583
1706850000000.0,74232.95,74237.75,74084.02,74169.38,0.01,0.01,0.01,0.01,57.46,1.35,42.54,1150,0.2607913,5.5941905,43103.97,340,35540,0.692778612529465,0.6509130643737574,43059.05539327672,9311
1706850000000.0,74485.73,74485.73,74232.02,74232.95,0.01,0.01,0.01,0.01,57.12,1.33,42.88,1150,0.2607913,5.5941905,43103.97,340,35540,0.692778612529465,0.6509130643737574,43059.05539327672,9311
1706850000000.0,74564.48,74731.45,74463.5,74485.73,0.01,0.01,0.01,0.01,57.57,1.36,42.43,1150,0.2607913,5.5941905,43103.97,340,35540,0.692778612529465,0.6509130643737574,43059.05539327672,9311
1706940000000.0,75162.24,75355.94,75105.11,75331.61,0.008845,0.01,0.008698,0.01,55.21,1.23,44.79,715,0.0541293,7.43938765,43095.39,336,47618,0.5558283466435024,1.141214274179743,43104.21555787101,16758
1706940000000.0,75229.53,75258.61,75158.03,75162.24,0.00894,0.009028,0.008762,0.008845,55.28,1.24,44.72,715,0.0541293,7.43938765,43095.39,336,47618,0.5558283466435024,1.141214274179743,43104.21555787101,16758
1706940000000.0,75333.69,75333.69,75229.53,75229.53,0.00909,0.009399,0.008886,0.00894,55.14,1.23,44.86,715,0.0541293,7.43938765,43095.39,336,47618,0.5558283466435024,1.141214274179743,43104.21555787101,16758
1707030000000.0,77006.06,77006.06,76158.3,76158.3,0.008759,0.009385,0.008759,0.008945,58.25,1.4,41.75,871,0.40505352,7.52247291,42845.03,442,39473,0.5803822260349855,0.8795143187227075,42834.85342475406,15202
1707030000000.0,77052.38,77130.51,76998.21,77006.06,0.008846,0.009091,0.008694,0.008759,58.41,1.4,41.59,871,0.40505352,7.52247291,42845.03,442,39473,0.5803822260349855,0.8795143187227075,42834.85342475406,15202
1707030000000.0,77296.59,77309.68,77029.99,77052.38,0.009688,0.009688,0.00875,0.008846,58.92,1.43,41.08,871,0.40505352,7.52247291,42845.03,442,39473,0.5803822260349855,0.8795143187227075,42834.85342475406,15202
1707120000000.0,77970.87,78062.03,77350.55,77350.55,0.01,0.01,0.01,0.01,60.63,1.54,39.37,1414,1.22709617,14.18878563,43033.53,506,52593,0.7444762425233131,1.769619601960199,43000.56623622357,13905
1707120000000.0,78295.27,78295.27,77805.51,77970.87,0.01,0.01,0.01,0.01,59.06,1.44,40.94,1414,1.22709617,14.18878563,43033.53,506,52593,0.7444762425233131,1.769619601960199,43000.56623622357,13905
1707120000000.0,78345.93,78380.78,78224.99,78295.27,0.01,0.01,0.01,0.01,58.27,1.4,41.73,1414,1.22709617,14.18878563,43033.53,506,52593,0.7444762425233131,1.769619601960199,43000.56623622357,13905
1707210000000.0,80433.46,80490.12,79833.72,80245.38,0.009364,0.009364,0.006721,0.006723,62.54,1.67,37.46,704,0.15958379,5.11658771,42991.55,640,46350,0.8345445478442545,1.13031461693816,42974.6714339541,11862
