start_time,active_addresses,exchange_inflow,exchange_outflow,price,transaction_count
1726675200000,48854,0.3320165601015965,0.4185583678032036,59852.14258615642,15656
1726678800000,24484,0.3938821888169644,0.6448276267307693,60144.76441836952,5929
1726682400000,81998,0.6123187877078351,0.6079207864858379,60804.52481611848,23304
1726686000000,61047,0.4314519381512606,1.737424683259188,60177.29018530973,22912
1726689600000,30871,1.2454247124318427,1.7477531106013071,60249.74056425355,16420
1726693200000,49478,0.3090872088797364,0.8236487592441055,60268.888552331184,23512
1726696800000,40962,0.3027587625731639,0.5410973122336227,60587.80502634938,14692
1726700400000,26162,0.4444434685670732,0.5989465438214285,61321.144118524906,6159
1726704000000,40709,0.9079689791810666,0.8900911350736842,62467.265445565696,19693
1726707600000,44278,0.670229179896306,1.0559309981422924,61987.30333478978,17873
1726711200000,33389,0.5048945480553154,0.868469559225268,62195.32473493988,20949
1726714800000,27736,0.6076969658590854,0.7632652568212822,62106.62123232412,26674
1726718400000,19162,0.42848503814433,3.203667899935275,62027.452642912176,15973
1726722000000,51179,0.5700403781208053,1.03235419691052,61980.47335340319,20575
1726725600000,36332,0.6133565485306554,0.8559784069966442,62054.88195152181,16112
1726729200000,46342,0.5114806824008757,0.8411575485960592,62111.41365024043,18851
1726732800000,39598,0.5983385218332412,1.7695187259533385,61920.779668710464,29282
1726736400000,31132,2.068880576156325,0.6809853257815127,62288.63062656355,11003
1726740000000,48340,0.8955887269272104,1.1037872833884508,62398.81149780049,17331
1726743600000,38957,4.130331834323917,6.636203831368962,62622.520805840846,37091
1726747200000,42310,0.5877631236431692,2.07849357949827,62839.22892794579,18109
1726750800000,35549,1.0458700351450192,1.294922435323426,62758.764877265625,23602
1726754400000,29896,0.3727244636547912,1.0786766177982277,62967.91987516486,27515
1726758000000,43715,0.3840253884844503,0.616246890895077,63196.20962214268,13645
1726761600000,56458,1.0528037071319312,3.0822669856073004,63634.48678969106,17701
1726765200000,78574,0.8196864225051215,1.3589991929586696,63776.04106268568,18690
1726768800000,59272,0.4597506434454912,1.055121605881447,63530.68009120555,13906
1726772400000,65904,1.1388606520848936,2.0702855311509847,63254.77134906475,28132
1726776000000,42902,1.263953375920044,1.971466342013932,63071.40531396233,12113
1726779600000,14804,0.1537146227575277,0.8412449127044027,62976.26888349075,2728
1726783200000,39309,0.8191880961829436,1.592317125044035,62929.67147164001,9775
1726786800000,69860,0.3038317209508841,1.0901309684380307,62967.54702279856,18262
1726790400000,47156,0.3635291739177002,0.5604640507926828,62853.96093402151,13511
1726794000000,39732,0.5401468515128006,0.7518328982754492,63006.38784545883,65244
1726797600000,28180,0.3543402820650263,0.4681965432305631,62990.68032674044,42277
1726801200000,46281,0.8183266488568434,0.9516792461576844,63644.16518748946,57088
1726804800000,46356,1.2136053151223027,2.3075299696527782,63912.75439471457,39750
1726808400000,18990,0.8129545655263157,1.1361925194747082,63784.99687036757,12416
1726812000000,69419,0.7886937725772017,0.9236149070489956,63782.096081684205,30330
1726815600000,37822,0.5352921693542435,1.6049856428835492,63659.17314336745,21925
1726819200000,43304,0.8126464893932154,1.583577976605938,63331.54216744133,15577
1726822800000,59139,0.4958908200784858,0.7227930958630137,63478.09996548484,24527
1726826400000,43692,1.257187707376955,6.567946454635373,63602.91317041184,37769
1726830000000,43285,0.5502154141187299,0.9139149639133628,63427.60003743922,13805
1726833600000,48968,1.7272764395355045,1.943232849343066,63419.54923955255,13555
1726837200000,44795,1.0648747006726151,1.251455717357724,62952.27910330261,10330
1726840800000,36994,0.5379075633742332,1.563213733722026,63178.20990634903,9686
1726844400000,67708,0.4050073858636363,0.8646415832930231,63161.45371736647,20879
1726848000000,39547,0.2532578791331757,0.934302767684825,63005.332552747095,11684
1726851600000,41801,0.3459694863896688,0.5469984008855587,62674.31223354703,10794
1726855200000,60916,0.5450151308615384,1.216630413829431,62817.98174319466,15661
1726858800000,53852,0.2438569051258741,0.8189645592592593,62822.483784637145,13469
1726862400000,29228,0.3747760367213115,0.7527190797281553,62928.66599824963,7097
1726866000000,60292,0.7126036564339754,1.6175807098632016,63162.27187468492,14077
1726869600000,48967,0.1725791416666666,0.3632699811302211,63213.17628165115,11454
1726873200000,72439,0.4464860671268865,0.6656260126368554,63122.17999859899,13340
1726876800000,32539,0.0179851005780346,0.863603259661017,63244.03444983707,6309
1726880400000,37443,0.2477207263464836,0.1831475142170543,62926.94797697575,8438
1726884000000,44233,0.1499070656636363,0.2499121398226087,62932.13869883204,12001
1726887600000,36233,0.5490053842949758,0.9016546338772664,62910.77459739309,31921
1726891200000,36472,0.2008544015523932,0.401961863594132,62855.26732641097,15870
1726894800000,28981,0.2523601831942789,0.3519147287804878,62905.710332396426,17238
1726898400000,35334,0.3089855271011673,0.421782258969521,63059.15065949683,7393
1726902000000,39502,0.3308564203216796,0.5698273290937829,63096.6072930574,57234
1726905600000,37135,0.350131721571697,0.4698210015909091,63037.61000814265,44855
1726909200000,35695,0.2243998793360656,0.3235691802815013,63102.38097223738,38471
1726912800000,22842,0.1503667410892656,0.6200391690235576,62981.46729905489,14530
1726916400000,43111,0.3325174132034104,0.5416065500902527,63105.06004262695,43188
1726920000000,27672,0.0822716414959202,0.2127273023821989,63111.21018583279,16029
1726923600000,48937,0.2063785633469758,0.2010512803655054,63194.0336179785,22899
1726927200000,20605,0.2354234364182194,0.50474142375,63262.33778817375,6983
1726930800000,54705,0.2031981836172081,0.42048445943769,63222.23869442444,17053
1726934400000,49078,0.2712176627772848,0.5692367711751662,63209.32373311976,16843
1726938000000,49336,0.1198562842511122,0.2766092451866801,63312.34671283308,20330
1726941600000,41668,0.1670153055662188,0.450335105850144,63262.27922653968,20230
1726945200000,55649,0.1486141825460717,0.2093429368265388,63211.8524570141,44358
1726948800000,32296,0.2003992098868778,0.5393558509473685,63189.57508155796,25283
1726952400000,45392,0.3517180590916209,0.4675469996880131,63076.01986711683,11513
1726956000000,29124,0.1357253058818493,0.1347834346284102,63238.43355316421,40383
1726959600000,44765,0.133663389799392,0.2128430835813853,63486.442219854885,17957
1726963200000,27707,0.5482910631038506,1.0042493200828155,63225.99946079267,16730
1726966800000,33193,0.1946410876144835,0.3213593506477732,63110.25482746587,8014
1726970400000,25694,0.5853803231767957,2.2300402789090907,62930.358588565534,19704
1726974000000,28610,0.2168969095934959,0.2914588754723477,63101.918899439625,32036
1726977600000,44686,0.2687399770843571,0.5918537308018156,63161.041757536834,16642
1726981200000,22884,0.2707607591566549,0.3649973970724637,62937.00583568108,31422
1726984800000,48731,0.4189531371073777,0.6245425179955947,62862.48246348066,45580
1726988400000,27839,0.2925562205086084,0.4426151879626485,62968.716830256366,27967
1726992000000,26448,1.097967884251759,1.669561664102564,63013.85949042197,39727
1726995600000,24912,0.2853891780365736,0.3633887936236392,62766.06614116205,25400
1726999200000,36014,0.2172958748483773,0.3549699425445385,62677.82927094297,25585
