start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1704978000000,2024-01-11 13:00:00,0.47527322,0.90575368,686605166.65377,0.52472678,758048443.92392
1704981600000,2024-01-11 14:00:00,0.52137077,1.08929989,3107936269.10969,0.47862923,2853150276.06602
1704985200000,2024-01-11 15:00:00,0.46947884,0.88493896,2185151148.21974,0.53052116,2469267649.55624
1704988800000,2024-01-11 16:00:00,0.50168672,1.00676972,1717326360.4594,0.49831328,1705778713.37132
1704992400000,2024-01-11 17:00:00,0.50749097,1.03041962,772116307.11298,0.49250903,749322211.0074
1704996000000,2024-01-11 18:00:00,0.48513045,0.94223954,344316018.3203,0.51486955,365423019.0645
1704999600000,2024-01-11 19:00:00,0.48040992,0.9245941,238794628.06849,0.51959008,258269686.79575
1705003200000,2024-01-11 20:00:00,0.46998663,0.88674487,599632318.70746,0.53001337,676217406.51765
1705006800000,2024-01-11 21:00:00,0.49400263,0.97629487,237210997.41262,0.50599737,242970647.93769
1705010400000,2024-01-11 22:00:00,0.52770028,1.11729958,134702176.13752,0.47229972,120560482.68491
1705014000000,2024-01-11 23:00:00,0.444899,0.80147396,98072672.94684,0.555101,122365388.97877
1705017600000,2024-01-12 00:00:00,0.48750171,0.95122601,303725978.70016,0.51249829,319299488.36397
1705021200000,2024-01-12 01:00:00,0.46452826,0.86751218,212570209.87533,0.53547174,245034266.81532
1705024800000,2024-01-12 02:00:00,0.5070562,1.02862883,144080330.64731,0.4929438,140070281.9062
1705028400000,2024-01-12 03:00:00,0.49214156,0.96905264,172632796.50861,0.50785844,178145943.49662
