start_time,datetime,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd
1705046400000,2024-01-12 08:00:00,11.16480756,508596.33709,2.339,107704.39889
1705050000000,2024-01-12 09:00:00,3.37136005,153189.66916,15.30579812,704971.89891
1705053600000,2024-01-12 10:00:00,1.31274375,59985.85967,3.05223108,141172.86995
1705057200000,2024-01-12 11:00:00,1.53332605,70362.99573,14.28511412,663690.89382
1705060800000,2024-01-12 12:00:00,19.66320701,897927.96797,1.082,50040.0807
1705064400000,2024-01-12 13:00:00,4.53904187,206742.84606,2.337,107711.9064
1705068000000,2024-01-12 14:00:00,38.56757426,1743788.76182,11.112,508785.24306
1705071600000,2024-01-12 15:00:00,53.1695881,2376133.62936,2.9291785,132058.09751
1705075200000,2024-01-12 16:00:00,53.75459354,2340928.72125,23.04972073,1020938.00736
1705078800000,2024-01-12 17:00:00,13.59302828,588084.78889,17.8838385,784826.11599
1705082400000,2024-01-12 18:00:00,11.0910625,480288.27488,13.28986347,585130.15597
1705086000000,2024-01-12 19:00:00,7.49415882,323922.07011,3.7972074,166393.68572
1705089600000,2024-01-12 20:00:00,3.919138,170724.27737,12.50073571,550476.01266
1705093200000,2024-01-12 21:00:00,19.12715183,828380.54813,1.732,75821.1435
1705096800000,2024-01-12 22:00:00,119.86462756,4999899.14165,25.58273638,1086760.32091
1705100400000,2024-01-12 23:00:00,2.1641271,92144.21284,8.5351038,366649.62239
1705104000000,2024-01-13 00:00:00,0.239,10196.37418,0.75602069,32608.96224
1705107600000,2024-01-13 01:00:00,19.39672133,824152.9872,3.575,153532.25879
1705111200000,2024-01-13 02:00:00,3.21230687,136334.16471,2.113,90801.5831
1705114800000,2024-01-13 03:00:00,5.57502366,236060.12678,0.632,27067.89224
1705118400000,2024-01-13 04:00:00,0.0,0.0,4.672,200656.9566
1705122000000,2024-01-13 05:00:00,0.003,128.75919,10.55198154,456225.33982
1705125600000,2024-01-13 06:00:00,0.63614329,27252.91669,4.98530857,216105.35285
1705129200000,2024-01-13 07:00:00,0.0,0.0,2.293,99507.24738
1705132800000,2024-01-13 08:00:00,0.322,13837.29383,0.07,3030.5716
1705136400000,2024-01-13 09:00:00,5.80344064,248433.19945,0.063,2726.27846
1705140000000,2024-01-13 10:00:00,21.92894559,933480.05313,0.916,39402.20421
1705143600000,2024-01-13 11:00:00,4.89384101,207636.78193,1.122,48176.5242
1705147200000,2024-01-13 12:00:00,0.51451922,21807.20982,0.422,18101.48319
1705150800000,2024-01-13 13:00:00,0.131,5568.15385,0.37302329,16023.59588
1705154400000,2024-01-13 14:00:00,0.159,6780.45187,6.91402326,297801.59856
1705158000000,2024-01-13 15:00:00,2.856,122449.54263,16.13787825,699083.12633
1705161600000,2024-01-13 16:00:00,3.04071159,129935.01978,0.0,0.0
1705165200000,2024-01-13 17:00:00,0.17904696,7633.91715,0.76,32755.26451
1705168800000,2024-01-13 18:00:00,0.8446338,35989.85348,0.0,0.0
1705172400000,2024-01-13 19:00:00,0.58602346,24990.47135,2.147,92566.62481
1705176000000,2024-01-13 20:00:00,1.46249372,62265.78011,0.384,16536.79956
1705179600000,2024-01-13 21:00:00,0.001,43.13713,1.9672088,84826.72756
1705183200000,2024-01-13 22:00:00,0.026,1113.84347,0.23288017,10059.2471
1705186800000,2024-01-13 23:00:00,0.65704692,28034.14257,0.0,0.0
1705190400000,2024-01-14 00:00:00,3.09646846,131813.2088,0.0,0.0
1705194000000,2024-01-14 01:00:00,0.077,3284.22736,0.101,4339.00019
1705197600000,2024-01-14 02:00:00,3.93209416,167215.14127,0.086,3695.23142
1705201200000,2024-01-14 03:00:00,0.606,25755.53743,0.091,3903.0264
1705204800000,2024-01-14 04:00:00,6.29754199,267206.66994,0.0,0.0
1705208400000,2024-01-14 05:00:00,2.048,86929.41884,2.465,105823.50963
1705212000000,2024-01-14 06:00:00,0.109,4644.57963,4.60587888,198339.20631
1705215600000,2024-01-14 07:00:00,0.031,1327.48789,1.75479657,75827.22538
1705219200000,2024-01-14 08:00:00,0.05,2139.58172,0.487,21023.13938
1705222800000,2024-01-14 09:00:00,0.73993714,31588.42847,1.059,45781.75513
1705226400000,2024-01-14 10:00:00,1.05086601,44934.09406,0.488,21067.84771
1705230000000,2024-01-14 11:00:00,3.263,139240.08997,0.0,0.0
1705233600000,2024-01-14 12:00:00,0.66504698,28325.99506,0.0,0.0
1705237200000,2024-01-14 13:00:00,0.714,30434.57946,0.253,10892.94343
1705240800000,2024-01-14 14:00:00,0.6833696,29155.0935,4.50676242,194478.21769
1705244400000,2024-01-14 15:00:00,0.221,9438.48077,0.053,2286.14663
1705248000000,2024-01-14 16:00:00,1.352,57783.0536,1.764,75999.48973
1705251600000,2024-01-14 17:00:00,0.003,128.27829,3.885,167782.55166
1705255200000,2024-01-14 18:00:00,1.384,59091.7682,0.0,0.0
