start_time,active_addresses,exchange_inflow,exchange_outflow,price,transaction_count,exchange_whale_ratio,reserve_usd
1704852000000,926,4.65798074,11.87692477,45971.09,361,0.87232963,27226834670.420258
1704855600000,710,0.70563211,8.14612987,46117.1,410,0.91649701,27324077376.14388
1704859200000,1628,4.2807466,12.7251062,45960.98,286,0.9724526,27290853721.707005
1704862800000,1352,0.52657387,13.99298642,45975.99,402,0.94004862,27246117918.761967
1704866400000,1125,2.0872628,14.24596339,46006.0,479,0.88398147,27295789196.346523
1704870000000,1050,0.17007035,10.50708009,45757.98,579,0.76290598,27147784161.06355
1704873600000,1556,1.85285656,12.12713003,45329.94,701,0.93543988,27017469581.014763
1704877200000,500,0.20210578,27.73720279,45661.42,412,0.73702521,27049849987.969563
1704880800000,1073,1.17744845,10.46866,45532.0,708,0.89134213,27063427712.045773
1704884400000,961,0.11417795,11.86260703,45515.89,820,0.70320733,26939034616.45103
1704888000000,819,0.35808991,13.64258114,44670.53,611,0.76566954,26387898440.51341
1704891600000,2182,0.12517168,12.96908051,45118.01,665,0.52440104,26720808438.185986
1704895200000,2739,2.48946906,7.47910475,44884.0,841,0.72239894,26706203763.38907
1704898800000,1272,0.74818309,19.58325732,45546.4,772,0.874536,26887018661.95894
1704902400000,1929,1.66149667,6.58068636,45311.1,800,0.85600193,27027186049.0202
1704906000000,1418,0.91055399,21.01839911,46401.89,925,0.84436738,27583301083.260117
1704909600000,799,0.19564616,17.34426657,46527.33,470,0.68150901,27625088778.283607
1704913200000,1975,1.06789828,15.64556076,46489.18,994,0.89263129,27633950387.248512
1704916800000,2260,0.91217634,20.43419696,46127.0,843,0.83882295,27221089959.476944
1704920400000,880,0.94973862,29.11025628,45946.0,616,0.87290442,27052794060.692432
1704924000000,1602,0.78107841,21.6114456,46902.69,809,0.90807219,27840089983.229755
1704927600000,821,1.20876822,41.99582229,46653.99,547,0.92109318,27572835217.305138
1704931200000,2156,0.73646039,8.7251975,46670.01,654,0.89433599,27694016491.520897
1704934800000,648,1.76135145,20.25732841,46506.94,478,0.96420199,27590396167.53354
1704938400000,1104,1.6477908,17.36223843,46559.0,363,0.91045486,27617945475.917675
1704942000000,1192,0.16306756,11.42361848,46502.16,394,0.6964694,27527417028.44665
1704945600000,1987,2.85202361,9.12121266,46400.01,389,0.91608513,27524134570.60877
1704949200000,508,0.68485116,13.24784299,46070.0,254,0.89451856,27419030781.7894
1704952800000,1423,1.01837458,13.17012334,45907.3,572,0.86634709,27215094817.572163
1704956400000,751,0.87806397,24.25023444,46101.4,707,0.84439192,27298299205.139603
1704960000000,1858,2.2690379,18.17152855,46277.0,619,0.82189997,27442446310.891987
1704963600000,514,0.21363251,18.87675277,46220.12,476,0.62583255,27412429853.9548
1704967200000,1429,1.46067892,16.69226473,46859.91,915,0.7491613,27744420900.01491
1704970800000,729,0.11810416,20.39055486,47060.0,605,0.5489964,27862197173.48093
1704974400000,2987,1.66813632,15.60341572,47449.63,948,0.8040686,28120738775.890835
1704978000000,834,0.0962121,46.45587478,47325.2,610,0.59946148,27977707021.162937
1704981600000,2663,0.84221644,40.63022031,48571.22,1149,0.82715139,28783502240.77308
1704985200000,1458,1.33977855,37.45551143,46783.78,1109,0.77178546,27566655298.133102
1704988800000,3263,3.39382744,13.64646288,46007.29,1022,0.85437596,27273590740.234886
1704992400000,792,1.48776703,13.32948912,46497.14,506,0.95106961,27235412393.75811
1704996000000,1780,1.48387743,13.46164524,46609.99,796,0.92025615,27673168321.96768
1704999600000,1004,2.90138601,27.38012112,46692.3,664,0.9789885,27752084779.89036
1705003200000,953,0.14790668,38.21305689,46241.92,561,0.75552779,27516225955.818077
1705006800000,1773,1.30113004,9.46739563,46156.01,875,0.94886393,27566623491.77924
1705010400000,1612,3.74253584,14.99500754,46399.99,750,0.95804282,27669804876.403137
1705014000000,785,0.20545665,4.35213125,46339.16,504,0.85336378,27675425228.15669
1705017600000,1741,1.79424224,6.46311784,46293.43,572,0.94865423,27680161287.530003
1705021200000,475,0.30070175,2.98859332,46135.48,297,0.92778118,27534832382.007786
1705024800000,1091,1.42294556,10.39909826,46144.01,401,0.928752,27607401869.2014
1705028400000,558,0.55224351,7.35475215,45994.0,324,0.929658,27499113535.462315
1705032000000,578,2.03923728,6.72488215,45956.34,234,0.96402701,27403739515.40831
1705035600000,916,0.61472182,7.69513338,46194.01,380,0.90535416,27544838117.25896
1705039200000,2044,1.62685338,10.36583712,46100.85,545,0.90128948,27581689203.965485
1705042800000,1594,0.82797362,15.6825938,46008.19,480,0.9542811,27372798840.83138
1705046400000,1233,1.15019018,21.74059026,45860.01,688,0.89694507,27281309058.61583
1705050000000,989,0.10906921,19.4501219,45925.92,726,0.65386519,27421829377.63351
1705053600000,1388,1.97368867,11.21939117,46063.62,608,0.93240885,27446138386.47384
1705057200000,942,0.41330961,13.86072857,45954.35,809,0.85264247,27429053437.809376
1705060800000,998,1.47040523,10.42462397,45866.56,617,0.89641107,27392102433.788567
1705064400000,2236,0.24050031,12.0410403,45779.02,532,0.81146722,27341132162.160507
1705068000000,928,0.15542576,17.62826201,45442.02,673,0.62876819,27095032936.57077
1705071600000,1260,1.21986607,17.18833751,44462.01,631,0.8573601,26734632152.51184
1705075200000,3187,2.20417237,22.5232917,43624.0,1477,0.82264469,26060178446.916065
1705078800000,1428,0.94291795,22.07921284,43803.99,906,0.94661165,26086864379.514145
1705082400000,2934,4.19252579,11.82295418,43472.0,896,0.83337663,26206237081.43468
